1229212211641,81,Italie
1229212214291,18,Pays-Bas
1229212215614,30,France
1229212218589,43,Espagne
1229212221852,0,Autriche
1229212223115,15,Argentine
1229212225823,54,Inde
1229212227957,1,Allemagne
1229212228927,99,Finlande
1229212232685,30,Italie
1229212233245,77,Argentine
1229212233566,87,Inde
1229212235147,43,Espagne
1229212236802,5,Suède
1229212239222,34,Allemagne
1229212241358,47,Corée du Sud
1229212242666,61,Etats-Unis
1229212245503,5,Suisse
1229212246403,48,Angleterre
1229212247742,63,Russie
1229212249293,68,Finlande
1229212253036,40,Suisse
1229212254097,9,Suède
1229212254254,54,Angleterre
1229212255478,99,Maroc
1229212256746,58,Iran
1229212257347,0,Gabon
1229212258746,46,Afrique du Sud
1229212261683,87,Afrique du Sud
1229212263531,80,Pays-Bas
1229212264920,6,Suisse
1229212266923,65,Allemagne
1229212270327,31,Finlande
1229212271245,86,Algérie
1229212275202,28,Argentine
1229212276414,8,Algérie
1229212279874,44,Algérie
1229212282461,53,Espagne
1229212284926,33,Gabon
1229212288613,32,Russie
1229212292239,44,Brésil
1229212293763,44,Afrique du Sud
1229212295764,16,Hollande
1229212297020,32,Algérie
1229212298215,97,Autriche
1229212300339,16,Brésil
1229212300766,9,Belgique
1229212304761,56,Pays-Bas
1229212308126,58,Argentine
1229212311275,84,Finlande
1229212313536,94,Brésil
1229212314229,7,Chine
1229212316126,95,Etats-Unis
1229212319864,44,Algérie
1229212323741,72,Russie
1229212326189,36,Espagne
1229212328335,28,Angleterre
1229212330972,82,Finlande
1229212331641,64,Autriche
1229212334896,59,Suisse
1229212338540,29,Tunisie
1229212340711,47,Irlande
1229212342979,13,Espagne
1229212344671,47,Etats-Unis
1229212347079,39,Angleterre
1229212347376,99,France
1229212348743,60,Espagne
1229212348994,54,Argentine
1229212350183,45,Italie
1229212353817,23,France
1229212354600,16,Russie
1229212356282,8,Hollande
1229212356700,94,Russie
1229212359803,32,Hollande
1229212360350,26,Suisse
1229212362343,61,Suisse
1229212363149,21,France
1229212364088,1,Allemagne
1229212364678,44,Pays-Bas
1229212368486,22,Portugal
1229212371743,24,Tunisie
1229212374328,39,Argentine
1229212375115,94,Japon
1229212376876,93,Egypte
1229212378320,62,Finlande
1229212381740,46,France
1229212382216,82,Algérie
1229212384051,2,Chine
1229212385006,7,Corée du Sud
1229212388824,93,Gabon
1229212389921,31,Pakistan
1229212393601,30,Etats-Unis
1229212397444,97,Irlande
1229212399784,70,Russie
1229212401493,85,Irlande
1229212404681,56,Afrique du Sud
1229212405568,85,Suède
1229212409518,99,Portugal
1229212409835,8,Inde
1229212412645,7,Algérie
1229212414450,33,Autriche
1229212415200,72,Espagne
1229212415753,75,Suisse
1229212417342,42,Portugal
1229212417597,1,Algérie
1229212418601,85,Italie
1229212419806,47,Angleterre
1229212421342,56,Italie
1229212422442,76,Brésil
1229212425304,85,Algérie
1229212425984,5,Brésil
1229212427395,72,Finlande
1229212428168,14,Algérie
1229212428222,39,Brésil
1229212431145,81,Chine
1229212433731,29,Iran
1229212434895,73,Egypte
1229212438416,98,Maroc
1229212439685,82,Belgique
1229212439760,63,Finlande
1229212441647,21,Angleterre
1229212443925,79,Algérie
1229212446144,47,Pays-Bas
1229212447469,93,Pérou
1229212449480,35,Allemagne
1229212451704,54,Angleterre
1229212453861,31,Iran
1229212456893,15,Pérou
1229212459168,74,Brésil
1229212460961,89,Argentine
1229212461651,29,Autriche
1229212464808,69,Algérie
1229212467505,89,Russie
1229212469214,65,Egypte
1229212471131,78,Pérou
1229212474885,70,Chine
1229212477105,46,Corée du Sud
1229212478888,8,Irlande
1229212479865,53,Maroc
1229212482466,90,Argentine
1229212483050,41,Irlande
1229212485724,56,Egypte
1229212488163,42,Espagne
1229212489698,39,Pakistan
1229212491126,48,Iran
1229212494165,70,Finlande
1229212497245,71,Algérie
1229212497434,7,Tunisie
1229212498887,75,Pays-Bas
1229212501070,19,Suède
1229212501964,92,Belgique
1229212505304,76,Allemagne
1229212508017,47,Espagne
1229212508559,61,Chine
1229212511451,33,Angleterre
1229212512085,29,Corée du Sud
1229212514371,89,Pays-Bas
1229212516254,87,Espagne
1229212516804,18,Portugal
1229212517991,53,Etats-Unis
1229212520576,61,Chine
1229212521919,53,Argentine
1229212524962,63,Finlande
1229212527464,10,Pérou
1229212529835,40,Gabon
1229212530580,18,Finlande
1229212533418,50,Japon
1229212533784,11,Hollande
1229212534671,96,Espagne
1229212537417,12,Japon
1229212537996,39,Belgique
1229212540845,80,Algérie
1229212544372,34,Italie
1229212545575,34,Etats-Unis
1229212549565,99,Inde
1229212552173,66,Etats-Unis
1229212555649,67,Hollande
1229212555826,74,Tunisie
1229212556553,73,Argentine
1229212556877,39,Inde
1229212559201,89,Italie
1229212560202,75,Argentine
1229212561708,25,Espagne
1229212565686,36,Tunisie
1229212568940,68,Algérie
1229212569592,90,Suède
1229212573299,66,Finlande
1229212576022,83,Gabon
1229212579424,45,Pakistan
1229212582786,76,Autriche
1229212583847,47,Gabon
1229212586585,93,Tunisie
1229212588734,30,Pérou
1229212589761,56,Japon
1229212592060,2,Tunisie
1229212595398,84,Afrique du Sud
1229212596239,28,Inde
1229212598638,15,Gabon
1229212600589,87,Irlande
1229212603145,54,Afrique du Sud
1229212605779,98,Pakistan
1229212609446,85,Afrique du Sud
1229212613406,77,Pays-Bas
1229212616417,28,Gabon
1229212617492,28,Etats-Unis
1229212619265,75,Pays-Bas
1229212620290,79,Afrique du Sud
1229212621142,34,Maroc
1229212624709,89,Japon
1229212627147,59,Portugal
1229212629391,13,Autriche
1229212631388,13,Inde
1229212635016,30,Argentine
1229212637163,84,Angleterre
1229212640248,60,Gabon
1229212640472,40,Angleterre
1229212643515,72,Espagne
1229212643786,50,Gabon
1229212644043,96,Corée du Sud
1229212645583,81,Belgique
1229212645834,44,Inde
1229212649800,51,Russie
1229212653471,37,Tunisie
1229212656032,63,Espagne
1229212657843,73,Iran
1229212658461,48,Iran
1229212659300,2,Pérou
1229212661954,13,Italie
1229212665417,58,Egypte
1229212666932,51,Suède
1229212668218,59,Irlande
1229212669003,74,Pérou
1229212672381,42,Belgique
1229212673595,19,France
1229212674007,58,Algérie
1229212676225,88,Chine
1229212677147,3,Allemagne
1229212678839,34,Afrique du Sud
1229212679403,26,Maroc
1229212681232,35,Chine
1229212683426,92,Autriche
1229212684191,39,Angleterre
1229212686265,43,Espagne
1229212686667,33,Finlande
1229212690029,7,Brésil
1229212691581,27,Pays-Bas
1229212691687,17,Brésil
1229212694194,56,Italie
1229212697563,83,Finlande
1229212701436,17,Angleterre
1229212704585,44,Corée du Sud
1229212705250,1,Portugal
1229212707725,41,Egypte
1229212710715,2,Argentine
1229212711969,72,Suisse
